Type,Title/ID,Points,Question Wording,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,General Feedback,Correct Feedback,Incorrect Feedback,Feedback 1,Feedback 2,Feedback 3,Feedback 4,Feedback 5,Feedback 6,Feedback 7,Feedback 8,Feedback 9,Feedback 10,Topic,Difficulty Level,Meta 1,Meta 2,Meta 3,Meta 4
MC,title01,1,Question for multiple choice,1,correct,incorrect 1,incorrect 2,,,,,,,,general feedback,correct feedback,incorrect feedback,,,,,,,,,,,,,,,,
TF,title02,1,Question for true false,TRUE,,,,,,,,,,,general feedback,correct feedback,incorrect feedback,,,,,,,,,,,,,,,,
FB,title03,1,Question for fill in the blank,,I'm not sure what goes here.,I'm not sure what goes in here either.,,,,,,,,,general feedback,correct feedback,incorrect feedback,,,,,,,,,,,,,,,,
MR,title04,1,Question for multiple answers,"1,2",correct 1,correct 2,incorrect 1,incorrect 2,,,,,,,general feedback,correct feedback,incorrect feedback,,,,,,,,,,,,,,,,
ES,title06,1,Question for essay question,,I'm not sure what goes here.,,,,,,,,,,general feedback,correct feedback,incorrect feedback,,,,,,,,,,,,,,,,
MR,popsamp02001,1,What is the statistical meaning of population?,1,All of the members of a group you're interested in.,It's always all of the people in an entire country.,There's no such concept in statistics.,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02002,1,A sample is a portion of a population,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02003,1,A sample is all the members of a group you're interested in.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02004,1,A characteristic of interest is called a parameter when it refers to the characteristic in an entire population.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02005,1,A characteristic of interest is called a statistic when it refers to the characteristic in a sample.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02006,1,A characteristic of interest is called a parameter when it refers to the characteristic in a sample.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02007,1,A characteristic of interest is called a statistic when it refers to the characteristic in an entire population.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02008,1,Sample statistics are used to estimate population parameters.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02009,1,Population parameters are used to estimate sample statistics.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02010,1,Sample parameters are used to estimate population statistics.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02011,1,Population statistics are used to estimate sample parameters.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02012,1,Select the statement(s) which are true.,1,Sample statistics are used to estimate population parameters.,Population parameters are used to estimate sample statistics.,Sample parameters are used to estimate population statistics.,Population statistics are used to estimate sample parameters.,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02013,1,"If sampling is truly random, the sample statistic will always match the population parameter.",2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02014,1,Sample statistics are usually represented using Roman letters (normal ABCs).,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02015,1,Population parameters are usually represented using Greek letters.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02016,1,Sample statistics are usually represented using Greek letters.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02017,1,Population parameters are usually represented using Roman letters (normal ABCs).,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02018,1,Select the statement(s) which are true.,"1,2",Sample statistics are usually represented using Roman letters (normal ABCs).,Population parameters are usually represented using Greek letters.,Sample statistics are usually represented using Greek letters.,Population parameters are usually represented using Roman letters (normal ABCs).,Sample parameters are usually represented with Roman letters (normal ABCs).,Population statistics are usually represented with Greek letters.,Sample parameters are usually represented with Greek letters.,Population statistics are usually represented with Roman letters (normal ABCs).,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02019,1,The way we sample a population is not important.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02020,1,Sometimes sample statistics will match population parameters and sometimes sample statistics will differ from population parameters.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02021,1,The mean of quantitative variables is often represented with a Greek mu (µ) for the population parameter.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02022,1,The mean of quantitative variables is often represented with x with a bar over it ( x? ) for the sample statistic.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02023,1,The standard deviation of quantitative variables is often represented with a Greek sigma (?) for the population parameter.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02024,1,The standard deviation of quantitative variables is often represented with an s for the sample statistic.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02025,1,The proportion of categorical variables is often represented using the letter p for the population parameter.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02026,1,The proportion of categorical variables is often represented using the letter p with the caret character (^) above it for the sample statistic.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02027,1,The mean of quantitative variables is often represented with a Greek mu (µ) for the sample statistic.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02028,1,The mean of quantitative variables is often represented with x with a bar over it ( x? ) for the population parameter.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02029,1,The standard deviation of quantitative variables is often represented with a Greek sigma (?) for the sample statistic.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02030,1,The standard deviation of quantitative variables is often represented with an s for the population parameter.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02031,1,The proportion of categorical variables is often represented using the letter p for the sample statistic.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,popsamp02032,1,The proportion of categorical variables is often represented using the letter p with the caret character (^) above it for the population parameter.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=yLWgXMdCHT4,https://www.youtube.com/watch?v=yLWgXMdCHT4,,,,,,,,,,,,,,,,
MR,centtend02033,1,A measure of central tendency is a summary for the group as a whole.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02034,1,A measure of central tendency does not give you any information about the group.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02035,1,What is a measure of central tendency?,"1,2,3",mean,median,mode,standard deviation,interquartile range,outliers,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02036,1,What is another name for the mean?,1,average,median,mode,standard deviation,abuse,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02037,1,The mean is a good measure of central tendency when the data are normally distributed.,1,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
MR,centtend02038,1,The mean is a good measure of central tendency when the data are skewed.,2,TRUE,FALSE,Not enough information,,,,,,,,,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,https://www.youtube.com/watch?v=kn83BA7cRNM&list=PL8dPuuaLjXtNM_Y-bUAhblSAdWRnmBUcr&index=4,,,,,,,,,,,,,,,,
